                Great Lakes Average Ice Concentration
------------------------------------------------------------------
                       Ice Concentration (%)
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
------------------------------------------------------------------
2019 314    0.08    0.00    0.03    0.00    0.00    0.00    0.04
2019 315    0.08    0.00    0.03    0.00    0.00    0.00    0.04
2019 316    0.13    0.00    0.06    0.00    0.00    0.00    0.06
2019 317    0.16    0.00    0.13    0.00    0.00    0.00    0.09
2019 318    0.35    0.22    0.24    0.00    0.00    0.00    0.23
2019 319    0.46    0.06    0.37    0.00    0.00    0.00    0.27
2019 320    0.48    0.17    0.36    0.00    0.00    0.00    0.30
2019 321    0.90    0.41    1.07    0.00    0.00    0.00    0.68
2019 322    0.62    0.09    0.45    0.00    0.00    0.00    0.36
2019 323    0.62    0.09    0.43    0.00    0.00    0.00    0.35
2019 324    0.68    0.13    0.41    0.00    0.00    0.00    0.38
2019 325    0.93    0.14    0.45    0.00    0.00    0.00    0.48
2019 326    0.90    0.14    0.33    0.00    0.00    0.00    0.44
2019 327    1.33    0.03    0.23    0.00    0.00    0.00    0.55
2019 328    1.05    0.03    0.76    0.00    0.00    0.00    0.57
2019 329    1.05    0.01    0.22    0.00    0.00    0.00    0.44
2019 330    1.05    0.00    0.14    0.00    0.00    0.00    0.42
2019 331    0.55    0.00    0.14    0.00    0.00    0.00    0.23
2019 332    0.58    0.00    0.15    0.00    0.00    0.00    0.25
2019 333    0.48    0.00    0.15    0.00    0.00    0.00    0.21
2019 334    0.48    0.00    0.16    0.00    0.00    0.00    0.21
2019 335    0.54    0.01    0.15    0.00    0.00    0.00    0.23
2019 336    0.96    0.03    0.14    0.00    0.00    0.00    0.39
2019 337    1.00    0.03    0.14    0.00    0.14    0.00    0.42
2019 338    0.80    0.02    0.15    0.00    0.14    0.00    0.34
2019 339    0.70    0.02    0.25    0.00    0.30    0.00    0.34
2019 340    0.71    0.03    0.49    0.00    0.47    0.00    0.42
2019 342    0.81    0.01    0.26    0.00    0.53    0.00    0.40
2019 343    1.35    0.01    0.37    0.00    0.80    0.00    0.64
2019 344    1.37    0.03    0.52    0.00    0.66    0.00    0.68
2019 345    1.41    1.40    0.80    0.00    0.66    0.00    1.07
2019 346    1.52    1.45    1.75    0.06    0.67    1.18    1.36
2019 347    1.78    1.50    2.32    0.03    0.65    0.00    1.59
2019 348    1.80    2.44    1.86    0.00    0.68    0.00    1.70
2019 349    1.95    2.18    2.23    0.06    0.50    0.00    1.78
2019 350    2.04    2.18    2.32    0.06    0.92    0.00    1.86
2019 351    1.95    2.28    1.77    0.06    0.92    0.00    1.72
2019 352    2.32    3.14    4.46    0.06    0.97    0.00    2.70
2019 353    2.35    3.14    8.36    0.33    1.15    0.00    3.67
2019 354    2.81    3.04    8.21    0.60    1.38    0.00    3.83
2019 355    4.59    2.64    8.38    0.60    1.38    0.00    4.43
2019 356    2.89    2.30    4.79    0.68    1.52   18.26    2.96
2019 357    2.33    1.94    5.04    0.52    1.31    3.44    2.65
2019 358    1.90    2.28    4.66    0.45    1.31    3.44    2.47
2019 360    2.13    1.93    3.62    0.55    1.18    5.15    2.23
2019 361    1.77    1.93    3.31    0.13    0.82    0.00    1.94
2019 362    1.48    1.71    2.82    0.04    0.53    0.00    1.64
2019 363    1.45    2.07    2.77    0.00    0.56    0.00    1.70
2019 364    1.35    1.37    2.05    0.00    0.49    0.00    1.33
2019 365    1.44    1.37    1.99    0.00    0.49    0.00    1.34
2020 001    1.90    1.39    1.72    0.00    0.49    0.00    1.45
2020 002    1.90    1.36    1.72    0.00    0.59    0.00    1.46
2020 003    1.95    2.31    1.61    0.00    0.53    0.00    1.65
2020 004    1.52    1.60    1.95    0.00    0.51    0.00    1.42
2020 005    1.56    1.47    1.45    0.00    0.56    0.00    1.29
2020 006    1.67    1.41    1.29    0.00    0.56    0.00    1.28
2020 007    1.64    2.52    1.30    0.00    0.56    0.00    1.52
2020 008    1.69    3.15    1.92    0.00    0.56    0.00    1.83
2020 009    1.69    3.14    2.00    0.00    0.51    0.00    1.84
2020 010    2.04    3.01    1.36    0.00    0.49    0.00    1.78
