                Great Lakes Average Ice Concentration
------------------------------------------------------------------
                       Ice Concentration (%)
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
------------------------------------------------------------------
2017 320    0.09    0.00    0.00    0.00    0.00    0.00    0.03
2017 322    0.27    0.00    0.00    0.00    0.00    0.00    0.10
2017 323    0.27    0.00    0.00    0.00    0.00    0.00    0.10
2017 324    0.36    0.00    0.00    0.00    0.00    0.00    0.13
2017 325    0.42    0.00    0.00    0.00    0.00    0.00    0.15
2017 327    0.51    0.00    0.00    0.00    0.00    0.00    0.18
2017 328    0.52    0.00    0.00    0.00    0.00    0.00    0.19
2017 329    0.54    0.00    0.00    0.00    0.00    0.00    0.20
2017 330    0.52    0.00    0.00    0.00    0.00    0.00    0.19
2017 331    0.39    0.00    0.00    0.00    0.00    0.00    0.14
2017 334    0.40    0.00    0.00    0.00    0.00    0.00    0.14
2017 335    0.52    0.00    0.00    0.00    0.00    0.00    0.19
2017 336    0.68    0.00    0.00    0.00    0.00    0.00    0.25
2017 337    0.57    0.00    0.00    0.00    0.00    0.00    0.21
2017 338    0.32    0.00    0.00    0.00    0.00    0.00    0.12
2017 339    0.32    0.00    0.00    0.00    0.00    0.00    0.12
2017 340    0.32    0.00    0.00    0.00    0.00    0.00    0.12
2017 341    0.49    0.00    0.00    0.00    0.00    0.00    0.18
2017 342    0.59    0.00    0.00    0.00    0.00    0.00    0.22
2017 343    0.81    0.00    0.00    0.00    0.00    0.00    0.30
2017 344    0.92    0.00    0.03    0.00    0.00    0.00    0.34
2017 345    1.05    0.42    1.47    0.21    0.00    2.37    0.86
2017 346    1.12    0.46    2.78    0.31    0.00    1.77    1.21
2017 347    1.38    0.71    4.37    1.20    1.44    3.17    1.94
2017 348    1.78    2.53    6.81    1.21    1.43   30.78    3.18
2017 349    1.98    2.53    9.81    5.40    3.12   81.04    4.68
2017 350    2.12    2.63   11.19    5.40    4.50   84.56    5.20
2017 351    2.25    2.78   11.71    8.02    4.73   92.54    5.70
2017 352    1.74    1.45    6.90    3.90    2.63   43.32    3.33
2017 353    1.54    0.96    4.61    2.82    1.17   23.65    2.32
2017 354    1.72    1.25    5.60    4.83    1.63   41.74    2.98
2017 355    2.50    2.26    7.22    5.06    2.11   46.94    3.95
2017 356    2.55    2.41    8.20    1.27    1.32   25.37    3.75
2017 357    2.23    2.49    6.95    0.95    1.34   16.88    3.29
2017 358    2.16    2.91    4.90    1.50    1.37   19.58    2.93
2017 359    2.21    3.40    8.24    4.16    1.43   29.63    4.15
2017 360    4.39    4.69   10.81    6.22    1.52   27.91    6.04
