                Great Lakes Average Ice Concentration
------------------------------------------------------------------
                       Ice Concentration (%)
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
------------------------------------------------------------------
2018 319    0.06    0.00    0.00    0.00    0.00    0.00    0.02
2018 320    0.09    0.00    0.00    0.00    0.00    0.00    0.03
2018 321    0.24    0.00    0.01    0.00    0.00    0.00    0.09
2018 322    0.44    0.00    0.05    0.00    0.00    0.00    0.17
2018 323    0.43    0.00    0.05    0.00    0.00    0.00    0.17
2018 324    0.49    0.00    0.06    0.00    0.00    0.00    0.19
2018 325    0.76    0.00    0.09    0.00    0.00    0.00    0.30
2018 326    0.96    0.14    0.19    0.00    0.11    0.00    0.44
2018 327    0.83    0.21    0.80    0.00    0.64    0.00    0.59
2018 328    0.78    0.09    0.47    0.00    0.52    0.00    0.46
2018 329    0.69    0.03    0.25    0.00    0.52    0.00    0.36
2018 330    0.58    0.00    0.17    0.00    0.51    0.00    0.29
2018 331    0.56    0.02    0.17    0.00    0.51    0.00    0.29
2018 332    0.68    0.03    0.16    0.00    0.51    0.00    0.33
2018 333    0.74    0.32    0.64    0.00    0.46    0.00    0.53
2018 334    0.75    0.39    0.89    0.00    0.34    0.00    0.60
2018 335    0.82    0.24    0.55    0.00    0.34    0.00    0.51
2018 336    0.79    0.12    0.31    0.00    0.23    0.00    0.40
2018 337    0.85    0.12    0.31    0.00    0.24    0.00    0.43
2018 338    0.97    0.14    0.39    0.00    0.11    0.00    0.49
2018 339    1.03    0.12    0.51    0.00    0.11    0.00    0.53
2018 340    1.17    0.13    0.65    0.00    0.11    0.00    0.62
2018 341    1.85    0.60    2.17    0.00    0.03    0.00    1.33
2018 342    1.56    1.34    2.21    0.00    0.03    0.00    1.40
2018 343    1.42    1.63    3.69    0.00    0.03    0.00    1.77
2018 344    1.48    1.33    3.88    0.06    0.80    0.66    1.84
2018 345    1.68    1.49    4.09    0.06    0.80    0.66    1.99
2018 346    1.34    1.49    3.97    0.08    0.81    0.80    1.84
2018 347    1.27    1.38    3.63    0.47    0.77    1.65    1.75
2018 348    1.00    1.28    3.55    0.22    0.56    0.00    1.56
2018 349    0.94    1.16    3.55    0.22    0.51    0.00    1.51
2018 350    1.04    1.29    2.22    0.09    0.42    0.00    1.24
2018 351    1.17    0.99    2.71    0.09    0.43    0.00    1.34
2018 352    1.20    1.02    2.02    0.08    0.40    0.00    1.18
2018 353    1.18    1.03    2.39    0.08    0.33    0.00    1.27
2018 354    1.23    1.03    2.49    0.08    0.52    0.00    1.32
2018 355    1.96    1.04    1.95    0.00    0.22    0.00    1.43
2018 356    1.14    0.34    2.53    0.00    0.63    0.00    1.14
2018 357    1.44    1.68    3.25    0.00    0.90    0.00    1.74
2018 358    1.65    1.73    4.41    0.00    0.79    0.00    2.10
2018 359    1.58    0.96    3.28    0.00    0.84    0.00    1.64
2018 360    1.56    1.67    4.18    0.00    0.96    0.00    2.01
2018 361    1.92    2.45    5.06    0.00    1.05    0.00    2.54
2018 362    2.09    1.62    4.24    0.00    0.84    0.00    2.20
2018 363    2.58    2.05    4.04    0.00    0.84    0.00    2.43
2018 364    2.64    2.71    6.54    0.00    0.84    0.00    3.20
2018 365    3.08    2.98    7.42    0.00    1.20    0.00    3.66
2019 001    2.89    3.27    8.70    0.00    0.86    0.00    3.93
2019 002    4.31    5.38   10.28    0.00    0.86    0.00    5.30
2019 003    4.47    5.37    9.90    0.00    1.07    0.00    5.28
2019 004    2.81    3.80    7.32    0.00    1.10    0.00    3.71
2019 005    2.16    2.46    6.47    0.00    0.95    0.00    2.96
2019 006    1.87    2.69    7.25    0.00    0.85    0.00    3.08
2019 007    1.85    2.69    7.44    0.00    0.88    0.00    3.12
2019 008    2.11    2.27    7.27    0.00    1.05    0.00    3.09
2019 009    2.92    2.77    7.71    0.00    1.05    0.00    3.61
2019 010    2.58    3.54    9.17    0.00    1.26    0.00    4.02
2019 011    4.31    5.77   15.83    0.00    1.80    8.97    6.82
2019 012    2.89    6.31   21.64    1.25    3.06    9.74    8.02
2019 013    4.64    7.10   17.95    0.36    3.13   16.00    7.90
2019 014    4.67    8.88   22.36    0.69    3.96   52.17    9.59
2019 015    4.73    7.55   22.17    0.76    3.91   52.17    9.28
2019 016    4.16    9.10   19.49    1.45    3.79   52.17    8.83
2019 017    5.10   10.99   24.01    5.16    6.83   58.70   11.28
2019 018    6.30   10.32   21.53    3.27    4.72   61.57   10.65
2019 019   10.63   14.46   30.74    8.10    7.84   87.64   16.14
2019 020    9.73   17.91   31.74   23.67    9.72   95.00   18.46
2019 021   14.57   17.53   35.68   31.06   10.86   95.00   21.85
2019 022   18.25   19.25   42.09   39.90   13.47   95.00   26.14
2019 023   12.36   18.60   33.29   30.53    9.71   95.00   20.59
2019 024   11.66   18.72   29.37   21.56    7.51   95.00   18.42
2019 025   14.93   25.73   35.88   36.99   10.56   95.00   24.42
2019 026   27.06   26.63   39.73   49.29    8.01   94.92   30.93
2019 027   21.60   22.08   42.31   52.15    9.41   84.30   28.86
2019 028   36.18   28.76   51.95   71.27   19.53   95.00   40.57
2019 029   39.61   34.41   45.86   71.75   18.14   95.00   41.58
2019 030   36.28   26.86   43.09   84.03   16.66  100.00   39.06
2019 031   49.24   33.57   50.14   90.89   20.88  100.00   47.95
2019 032   58.17   46.22   53.30   92.53   35.71  100.00   56.05
2019 033   47.06   28.73   44.30   91.53   25.79  100.00   45.08
2019 034   38.64   25.22   47.78   85.24   18.77  100.00   40.94
2019 035   40.41   24.86   45.56   81.26   15.32  100.00   40.36
2019 036   40.90   20.56   33.84   82.19   15.24  100.00   36.85
2019 037   46.48   19.57   40.43   80.65   12.10  100.00   39.86
2019 038   50.73   23.98   40.78   69.80   19.63  100.00   42.03
2019 039   67.37   32.24   46.94   70.91   16.04  100.00   51.28
2019 040   64.34   28.10   41.64   91.16   20.82  100.00   50.22
2019 041   71.89   27.71   53.44   93.15   18.86  100.00   55.75
2019 042   70.75   27.58   60.81   88.15   18.89  100.00   56.59
2019 043   66.28   24.43   62.47   86.54   20.84  100.00   54.64
2019 044   64.81   31.94   51.82   76.43   17.96   96.14   52.08
2019 045   69.26   32.41   51.36   71.35   16.99   96.14   53.16
2019 046   65.57   30.34   47.37   67.43    8.12   75.14   49.29
2019 047   63.94   30.95   51.79   82.48   11.78   88.96   51.62
2019 048   75.11   31.53   57.76   83.46   22.21   92.06   58.13
2019 049   76.86   36.61   65.36   86.99   24.64   95.81   62.24
2019 050   80.66   47.70   64.55   88.70   24.98   96.21   66.12
2019 051   81.52   39.72   69.17   91.11   37.30   96.45   66.87
2019 052   83.13   27.90   67.06   86.81   26.77   93.01   63.10
2019 053   80.18   31.40   58.00   85.61   18.37   93.04   59.92
2019 054   76.76   26.18   56.58   87.00   16.74   91.03   57.17
2019 055   77.66   27.95   54.18   78.14    9.78   87.22   55.96
2019 056   75.78   31.65   52.93   85.81    8.84   80.49   56.44
2019 057   76.57   40.43   62.25   88.37   17.36   85.35   61.81
2019 058   85.32   45.79   73.11   93.22   19.63   79.36   69.41
2019 059   86.05   41.77   80.46   92.10   31.52   80.72   71.29
2019 060   84.00   44.19   90.28   93.30   39.82   91.12   74.19
2019 061   85.96   41.40   81.65   94.28   27.08   95.07   71.39
2019 062   90.76   40.96   85.48   94.08   30.62   95.09   74.20
2019 063   91.84   40.33   86.96   93.51   18.14   95.10   73.84
2019 064   92.71   42.39   88.30   92.75   16.67   95.10   74.76
2019 065   94.09   46.76   81.88   91.95   22.47   95.07   75.07
2019 066   93.98   39.60   85.19   94.02   24.96   97.89   74.59
2019 067   94.91   55.83   90.59   93.61   27.29   97.89   80.01
2019 068   94.65   54.43   95.70   94.10   27.38   97.63   80.87
2019 069   87.53   34.24   89.90   92.43   11.87   97.63   71.04
2019 070   82.59   24.66   86.54   83.15    8.93   82.48   65.13
2019 071   80.74   23.02   50.87   68.47    8.37   75.85   54.14
2019 072   83.02   22.25   51.22   67.54    8.44   75.85   54.80
2019 073   84.36   22.87   49.88   63.58    8.95   75.85   54.78
2019 074   68.85   17.60   47.79   62.28    8.18   75.85   47.24
2019 075   69.87   18.65   31.36   32.48    8.16   37.86   40.99
2019 076   60.38   17.81   31.49   35.21    7.17   38.90   37.56
2019 077   65.63   16.34   28.05   36.32    7.22   21.48   38.36
2019 078   69.67   16.52   40.34   32.91    7.57   18.00   42.51
2019 079   66.26   16.11   30.00   28.39    7.21   16.59   38.25
2019 080   57.84   16.13   29.83   29.29    7.12   16.59   35.21
2019 081   46.27   15.04   26.59   27.28    7.10   10.80   29.75
2019 082   42.48   15.25   26.46   19.67    6.53    0.00   27.59
2019 083   36.91   14.62   23.88   17.00    6.62    0.00   24.55
2019 084   37.34   15.07   27.05   18.46    8.07    0.00   25.81
2019 085   33.14   14.32   25.36   20.11    6.56    0.00   23.74
2019 086   34.63   14.02   25.10   20.38    6.16    0.00   24.16
2019 087   31.39   12.34   23.30   17.06    6.09    0.00   21.85
2019 088   25.78   13.07   21.22   11.74    5.49    0.00   18.92
2019 089   23.94   13.62   22.83   13.42    6.21    0.00   18.97
2019 090   22.86   11.51   24.11   10.63    6.23    0.00   18.14
2019 091   18.95   11.61   19.43    7.79    4.65    0.00   15.25
2019 092   18.59   11.37   18.43    8.96    3.83    0.00   14.87
2019 093   13.23    9.89   16.66    7.26    3.44    0.00   11.97
2019 094   13.36   10.83   16.72    7.35    2.59    0.00   12.19
2019 095   15.78   11.26   17.64    8.37    2.52    0.00   13.48
2019 096   14.86   10.65   16.84    6.59    2.20    0.00   12.63
2019 097   15.89   10.69   18.90    7.17    2.03    0.00   13.54
2019 098   15.20    9.96   19.82    7.32    2.12    0.00   13.37
2019 099   14.86   10.35   16.62    5.54    2.35    0.00   12.42
2019 100   12.48    8.44   16.71    4.79    1.82    0.00   11.03
2019 101   11.97    9.28   16.60    5.15    0.85    0.00   10.97
2019 102   11.64    1.89   17.44    6.19    0.00    0.00    9.42
2019 103   11.90    3.36   15.49    5.11    0.00    0.00    9.28
2019 104    9.71    2.76   16.05    6.63    0.00    0.00    8.62
2019 105   10.14    1.33   14.09    6.31    0.00    0.00    7.95
2019 106   11.11    1.34   13.05    3.28    0.00    0.00    7.78
2019 107   11.84    1.09   13.59    3.89    0.00    0.00    8.18
2019 108    9.45    0.98   12.80    3.79    0.00    0.00    7.08
2019 109    7.91    0.77   13.24    3.46    0.00    0.00    6.55
2019 110    8.27    0.58   14.69    4.28    0.00    0.00    7.06
2019 111    7.78    0.38   14.49    3.14    0.00    0.00    6.68
2019 112    6.94    0.19   13.12    4.51    0.00    0.00    6.13
2019 113    6.02    0.16   11.62    4.37    0.00    0.00    5.41
2019 114    4.93    0.07    9.23    2.41    0.00    0.00    4.24
2019 115    4.50    0.00    7.87    1.55    0.00    0.00    3.67
2019 116    2.98    0.01    6.20    1.55    0.00    0.00    2.72
2019 117    2.40    0.00    6.52    1.41    0.00    0.00    2.57
2019 118    3.81    0.00    2.73    0.55    0.00    0.00    2.10
2019 119    1.43    0.00    1.33    0.37    0.00    0.00    0.88
2019 120    1.24    0.00    0.78    0.44    0.00    0.00    0.68
2019 121    1.13    0.00    0.73    0.53    0.00    0.00    0.64
2019 122    1.07    0.00    0.61    0.47    0.00    0.00    0.58
2019 123    1.03    0.00    0.18    0.29    0.00    0.00    0.45
2019 124    1.01    0.00    0.13    0.31    0.00    0.00    0.43
2019 125    0.98    0.00    0.00    0.00    0.00    0.00    0.36
2019 126    0.95    0.00    0.00    0.05    0.00    0.00    0.35
2019 127    0.94    0.00    0.00    0.00    0.00    0.00    0.34
2019 128    0.72    0.00    0.00    0.00    0.00    0.00    0.26
2019 129    0.73    0.00    0.00    0.00    0.00    0.00    0.27
2019 130    0.73    0.00    0.00    0.00    0.00    0.00    0.27
2019 131    0.71    0.00    0.00    0.00    0.00    0.00    0.26
2019 132    0.38    0.00    0.00    0.00    0.00    0.00    0.14
2019 133    0.25    0.00    0.00    0.00    0.00    0.00    0.09
2019 134    0.30    0.00    0.00    0.00    0.00    0.00    0.11
2019 135    0.04    0.00    0.00    0.00    0.00    0.00    0.01
2019 136    0.00    0.00    0.00    0.00    0.00    0.00    0.00
