                Great Lakes Average Ice Concentration
------------------------------------------------------------------
                       Ice Concentration (%)
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
------------------------------------------------------------------
2016 346    0.34    0.00    0.11    0.00    0.00    0.00    0.15
2016 347    0.53    0.27    0.11    0.00    0.00    0.00    0.28
2016 348    0.60    0.50    0.40    0.20    0.00    2.19    0.45
2016 349    0.68    0.66    0.60    0.29    0.00    4.63    0.58
2016 350    0.85    1.54    2.18    5.08    0.17   44.83    1.84
2016 351    1.22    3.70    5.38    9.52    1.06   76.62    3.83
2016 352    1.22    4.21    6.46   10.98    1.03   74.83    4.33
2016 353    1.39    2.63    6.50   11.24    1.17   84.62    4.12
2016 354    2.15    4.00    5.82   11.27    1.45   84.59    4.56
2016 355    2.39    4.63    8.81   11.93    1.43   84.50    5.57
2016 356    2.49    4.94    8.03   12.06    1.31   85.18    5.49
2016 357    1.68    3.35    7.71   12.06    1.31   85.18    4.76
2016 358    1.25    2.24    4.51    9.58    0.89   70.64    3.27
2016 359    1.25    2.34    4.45    9.55    0.82   70.64    3.27
2016 360    1.25    2.34    4.82    9.55    0.82   70.64    3.36
2016 361    1.20    1.46    4.85    9.55    0.84   70.64    3.15
2016 362    1.42    2.20    3.90    7.15    1.00   42.96    2.86
2016 363    1.42    2.08    3.45    5.97    1.00   27.80    2.55
2016 364    1.29    2.24    4.53    6.77    0.94   23.63    2.85
2016 365    1.09    2.11    3.72    2.41    0.50   11.73    2.07
2016 366    1.11    2.33    3.79    2.13    0.81   12.23    2.14
2017 001    1.23    2.34    3.98    1.51    0.81    7.60    2.16
2017 002    1.11    2.97    3.89    1.54    0.70    6.57    2.22
2017 003    1.11    2.99    5.50    1.77    0.87    6.57    2.65
2017 004    1.11    3.64    5.88    4.16    0.87    6.57    3.11
2017 005    2.77    6.74    6.27    4.58    1.48   41.43    4.72
2017 006    3.97   12.64   11.39   14.39    1.53   63.56    8.72
2017 007    5.03   13.27   15.80   19.72    3.20   88.50   11.02
2017 008    4.96   12.60   15.03   22.20    2.62   89.77   10.86
2017 009    6.50   15.00   14.51   24.16    2.70   89.65   12.02
2017 010    6.54   15.00   14.07   34.72    3.63   89.65   12.99
2017 011    8.38   14.40   15.01   31.46    1.91   89.94   13.32
2017 012    6.88   14.86   16.41   20.34    1.91   89.94   12.17
2017 013    6.43   13.25   11.99    9.88    1.62   73.41    9.52
2017 014    5.97   13.64   12.40   11.84    1.79   76.63    9.75
2017 015    7.78   13.63   12.71    5.45    1.89   70.26    9.87
2017 016    7.87   15.50   15.02   33.02    2.02   87.05   13.53
2017 017    7.87   15.57   13.87   22.95    2.07   86.84   12.33
2017 018    6.59   18.19   13.33   11.33    2.09   69.77   11.17
2017 019    5.22    9.45   13.65    9.16    2.15   56.07    8.52
2017 020    3.92    8.95   11.46    4.97    2.04   50.73    6.99
2017 021    3.71    9.20   11.56    5.16    1.46   37.81    6.92
2017 022    3.28    9.14   11.02    4.16    1.12   35.90    6.50
2017 023    2.99    9.51    9.56    3.02    0.91   30.96    5.99
2017 024    2.84    9.56    9.90    3.42    0.89   30.96    6.06
2017 025    2.85   10.28   10.07    2.70    0.88   28.90    6.19
2017 026    2.84   10.53    9.91    2.98    0.75   28.38    6.22
2017 027    2.93   10.12    6.88    2.25    0.65   17.30    5.31
2017 028    3.04    8.92    6.24    1.96    0.64    8.07    4.87
2017 029    3.65   10.86   10.52    1.98    0.65   11.90    6.57
2017 030    5.11   12.72   16.79    6.11    0.62   26.66    9.46
2017 031    5.36   12.27   18.19    4.84    1.28   22.77    9.70
2017 032    5.12   12.45   14.28    2.35    1.36   17.57    8.47
2017 033    5.09   12.10   14.38    1.37    1.48    7.13    8.28
2017 034    6.59   14.93   18.98    2.94    1.04   36.68   10.79
2017 035    6.68   14.19   15.32   16.79    1.09   88.12   11.29
2017 036    5.89   10.23   13.45    4.91    1.13   81.15    8.52
2017 037    5.49   11.99   24.88   19.44    4.99   83.30   13.15
2017 038    6.06   12.58   26.47   20.84    6.75   92.08   14.17
2017 039    6.97   17.29   19.72   35.52    6.21   92.08   15.28
2017 040    7.46   14.98   22.06    5.62    3.79   80.94   12.48
2017 041    7.60   14.17   25.24    7.44    5.12   78.01   13.36
2017 042    7.52   13.59   24.31    4.98    4.13   75.94   12.67
2017 043    8.22   13.55   26.41    4.86    4.92   75.97   13.46
2017 044    5.17    9.84   21.00    8.03    3.18   51.65   10.30
2017 045    4.96    9.42   20.07    5.66    3.94   29.61    9.66
2017 046    4.38    9.69   17.56    5.92    3.94   29.61    8.93
2017 047    7.69   13.18   26.62    6.91    3.24   66.91   13.27
2017 048   10.10   12.88   27.64    7.68    4.29   43.05   14.38
2017 049    8.20   11.47   22.22    5.58    2.61   43.90   11.76
2017 050    4.21    9.37   17.00    0.31    2.49   13.70    7.97
2017 051    4.22    9.96   16.46    0.95    3.20   21.70    8.12
2017 052    5.43    9.74   17.40    1.07    3.14   18.96    8.73
2017 053    5.46    8.62   17.21    0.15    3.14    7.58    8.32
2017 054    4.45    8.51   14.71    0.02    2.15    0.00    7.21
2017 055    3.84    7.42   12.31    0.02    1.90    0.00    6.16
2017 056    3.18    6.58   11.12    0.02    1.67    0.00    5.42
2017 057    4.14    8.75   12.05    0.02    1.23    0.00    6.45
2017 058    3.14    5.72    8.71    0.00    0.62    0.00    4.56
2017 059    3.13    5.71    8.46    0.00    0.56    0.00    4.49
2017 060    3.64    7.71    8.87    0.00    0.48    0.00    5.22
2017 061    7.70   13.05   15.72    0.00    0.25    0.00    9.52
2017 062    9.29   12.67   18.64    0.07    0.96    6.33   10.80
2017 063   18.73   13.69   24.09    0.00    0.68    0.00   15.72
2017 064   11.03   11.24   21.74    0.00    0.52    3.55   11.80
2017 065   10.26   10.32   19.88    0.00    1.64    0.00   10.94
2017 066    8.95    8.69   18.27    0.00    1.54    0.00    9.70
2017 067    3.27    5.02   16.17    0.00    0.36    0.00    6.21
2017 068    4.05    4.85    9.62    0.00    0.28    0.00    4.89
2017 069    5.10    8.60   10.97    0.00    0.17    0.00    6.43
2017 070    6.56    9.01   15.25    0.00    0.55    1.01    8.11
2017 071   11.21   11.87   28.61    0.16    2.16    4.28   13.78
2017 072   16.11   16.66   34.92    0.85    4.95   48.52   18.60
2017 073   18.27   16.61   35.35    0.81    6.16   48.35   19.56
2017 074   14.79   14.01   30.97    0.82    6.16   49.30   16.67
2017 075   12.46   10.82   26.90    2.67    6.31   79.03   14.42
2017 076   12.04   10.13   20.84    3.44    4.36   44.77   12.47
2017 077    8.40    9.28   18.26    2.47    4.48   43.41   10.24
2017 078    8.69   10.45   20.07    0.50    4.22   34.70   10.80
2017 080    6.82   11.25   16.50    0.54    3.21   32.42    9.37
2017 081    4.90    6.67   12.14    0.11    3.06   22.61    6.51
2017 082    5.07    6.70   12.24    0.00    3.15   11.06    6.55
2017 083    4.73    5.90   11.41    0.00    2.77    4.80    6.00
2017 084    4.44    5.37   11.37    0.00    2.90    4.38    5.77
2017 085    4.10    3.76    9.95    0.00    2.89    0.00    4.93
2017 086    3.39    3.57    9.05    0.00    2.82    0.00    4.41
2017 087    3.81    3.28    9.64    0.00    2.79    0.00    4.64
2017 088    3.76    4.06   10.92    0.00    2.66    0.00    5.09
2017 089    3.57    3.60   10.92    0.00    1.71    0.00    4.85
2017 090    3.04    2.93    9.86    0.00    0.85    0.00    4.18
2017 091    2.63    2.15    7.67    0.00    0.66    0.00    3.32
2017 092    2.64    1.67    7.73    0.00    0.19    0.00    3.20
2017 093    2.49    1.52    7.36    0.00    0.33    0.00    3.03
2017 094    2.61    0.67    6.90    0.00    0.20    0.00    2.77
2017 095    2.19    0.13    6.42    0.00    0.12    0.00    2.37
2017 096    2.04    0.05    6.13    0.00    0.00    0.00    2.22
2017 097    1.55    0.02    3.93    0.00    0.00    0.00    1.51
